"","new_name","country","year","lon","lat","rank_cwur","national_rank_cwur","quality_of_education","alumni_employment","quality_of_faculty","publications","influence","citations_cwur","broad_impact","patents","total_score_cwur","rank_times","teaching","international","research","citations_times","income","total_score_times","num_students","student_staff_ratio","international_students","female_male_ratio","rank_shanghai","national_rank_shanghai","total_score_shanghai","alumni","award","hici","ns","pub","pcp"
"192","University of Oulu","Finland",2015,NA,NA,447,6,275,369,218,432,344,368,375,521,44.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,"2-3",NA,11.5,0,8.6,7,28.5,15.4
"196","University of Oslo","Norway",2015,NA,NA,99,1,53,286,40,106,134,101,102,302,50.81,186,36.1,60.3,35.2,66.3,36.6,46.7,"27,139",18.8,"18%","",58,"1",29.4,28.1,32.6,15.9,18.2,49.1,26.9
"209","University of Nice Sophia Antipolis","France",2015,NA,NA,505,21,266,567,218,451,259,511,424,513,44.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,"19-22",NA,0,0,3.6,16.3,26.2,12.7
"225","University of Naples Federico II","Italy",2015,NA,NA,268,7,331,459,218,175,324,234,227,792,46.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,"9-10",NA,0,0,3.6,4.2,42,16.6
"249","University of Massachusetts Medical School","United States of America",2015,NA,NA,183,79,367,567,80,296,76,234,122,143,47.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,"52-65",NA,0,20,15.9,24.9,27.4,23.9
"256","University of Marrakech Cadi Ayyad","Morocco",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,16.3,45.1,6.5,83,28.6,NA,"56,060",38.7,"1%","46 : 54",NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","University of Liege","Belgium",2015,NA,NA,321,7,143,567,144,317,218,234,300,285,45.73,376,25.9,69.1,18.4,44.6,70.4,NA,"20,951",25.9,"23%","54 : 46",250,"5-6",NA,7.3,0,10.1,13.5,30.8,23.5
"281","University of La Laguna","Spain",2015,NA,NA,603,17,367,567,218,514,336,645,529,661,44.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","University of Kiel","Germany",2015,NA,NA,215,17,193,487,198,232,183,161,143,310,47.11,238,31.1,44.2,24.3,70.8,42,NA,"24,444",23.8,"8%","53 : 47",176,"9-13",NA,10.3,13.3,13.8,13.7,29.7,18.8
"294","University of Insubria","Italy",2015,NA,NA,676,36,367,567,218,705,564,645,579,871,44.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","University of Illinois at Urbana-Champaign","United States of America",2015,NA,NA,33,24,33,75,21,40,48,42,74,65,59.94,29,67.7,43.9,79,77.8,51.7,71.9,"42,727",18.7,"20%","47 : 53",29,"21",38.6,29.9,36.2,34.9,32.4,55.5,28.6
"307","University of Helsinki","Finland",2015,NA,NA,111,1,56,551,111,80,79,88,65,420,50.04,103,37.5,49.7,48.1,79,31.5,53.9,"23,505",15.1,"6%","66 : 34",67,"1",28.2,12.6,16.3,25.2,22.4,51.8,31.3
"308","University of Hawaii at Manoa","United States of America",2015,NA,NA,488,156,367,435,153,448,213,368,457,490,44.82,263,35.1,59.4,30.7,51.5,38.3,NA,"",NA,"","",176,"66-78",NA,0,0,20.1,22.9,36,18.7
"336","University of Electro-Communications","Japan",2015,NA,NA,840,63,161,567,218,857,833,645,906,332,44.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","University of Eastern Piedmont Amedeo Avogadro","Italy",2015,NA,NA,630,33,367,567,218,693,623,645,540,739,44.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","University of Eastern Finland","Finland",2015,NA,NA,366,2,367,567,218,374,388,321,300,861,45.37,376,24.3,44.1,21.6,53.8,32.8,NA,"10,798",17.3,"6%","64 : 36",450,"4-6",NA,0,0,10.7,5.7,28.8,15.3
"389","University of Burgundy","France",2015,NA,NA,654,28,224,567,218,513,527,812,590,774,44.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","University of Bern","Switzerland",2015,NA,NA,200,7,184,526,213,163,128,93,159,433,47.49,132,42,80.7,36.9,70.1,47.4,51.9,"14,708",22.5,"14%","54 : 46",176,"6",NA,12.6,0,16.3,19.2,41.3,26.9
"409","University of Basel","Switzerland",2015,NA,NA,160,5,83,363,60,167,100,136,130,486,48.48,75,41.2,91.2,41.1,81.4,97.7,58.4,"12,551",17.3,"24%","54 : 46",87,"4",24.9,19.2,16.3,17.4,21.4,39.2,35
"410","University of Bari Aldo Moro","Italy",2015,NA,NA,377,16,367,567,218,352,322,511,313,527,45.31,376,29.1,38.1,18.1,52,35.2,NA,"51,560",65.1,"2%","65 : 35",NA,NA,NA,NA,NA,NA,NA,NA,NA
