new_name,country,lon,lat
University College Dublin,Ireland,-6.2168851,53.305257
University of Salamanca,Spain,-6.0832929,37.3710677
University of Ulster,United Kingdom,-5.9291219,54.5863619
University of Glasgow,United Kingdom,-4.288761,55.87151
University of Strathclyde,United Kingdom,-4.243943,55.862949
Plymouth University,United Kingdom,-4.1372129,50.3732054
Aberystwyth University,United Kingdom,-4.065922,52.417776
University of Cantabria,Spain,-3.9878427,43.1828396
Swansea University,United Kingdom,-3.9854934,51.6215514
University of Castilla–La Mancha,Spain,-3.9176515,38.987051
University of Jaén,Spain,-3.7849057,37.7795941
University of Alcalá,Spain,-3.7617775,40.365473
Autonomous University of Madrid,Spain,-3.7101598,40.4069567
Carlos III University of Madrid,Spain,-3.7101598,40.4069567
University of Granada,Spain,-3.6020343,37.1776261
University of Exeter,United Kingdom,-3.5180167,50.7208387
Cardiff University,United Kingdom,-3.1868361,51.4919075
University of Edinburgh,United Kingdom,-3.1796292,55.9493918
University of Dundee,United Kingdom,-3.023085,56.455827
Liverpool John Moores University,United Kingdom,-2.9748672,53.4103136
University of Western Brittany,France,-2.9326435,48.2020471
University of St Andrews,United Kingdom,-2.7930852,56.3412112
Lancaster University,United Kingdom,-2.7852725,54.0070009
University of Liverpool,United Kingdom,-2.7254291,53.7512998
University of Central Lancashire,United Kingdom,-2.7050991,53.7678484
University of Manchester,United Kingdom,-2.6902872,53.7565609
University of Bristol,United Kingdom,-2.6259899,51.4771065
University of Almería,Spain,-2.4637136,36.834047
University of Bath,United Kingdom,-2.325886,51.3639371
Manchester Metropolitan University,United Kingdom,-2.275025,53.487286
Keele University,United Kingdom,-2.2745983,53.0039516
University of Aberdeen,United Kingdom,-2.0970459,57.1749492
University of Stirling,United Kingdom,-2.0697416,51.8963837
University of Birmingham,United Kingdom,-1.9256429,52.4484819
Aston University,United Kingdom,-1.8906637,52.4837557
University of Bradford,United Kingdom,-1.7619899,53.7915621
Public University of Navarre,Spain,-1.6760691,42.6953909
Newcastle University,United Kingdom,-1.6268973,54.9665195
Durham University,United Kingdom,-1.586,54.768
University of Warwick,United Kingdom,-1.563191,52.379411
University of Leeds,United Kingdom,-1.5534731,53.8070423
University of Nantes,France,-1.5512435,47.2112078
University of Sheffield,United Kingdom,-1.48406,53.38071
University of Southampton,United Kingdom,-1.396213,50.9353961
Loughborough University,United Kingdom,-1.2189891,52.7686355
University of Nottingham,United Kingdom,-1.1939984,52.9346979
University of Murcia,Spain,-1.1306544,37.9922399
University of Leicester,United Kingdom,-1.0920024,52.6075689
University of Navarra,Spain,-0.9173876,41.6583303
University of Zaragoza,Spain,-0.8992662,41.643859
Open University (UK),United Kingdom,-0.8905446,52.2445113
University of Reading,United Kingdom,-0.805388,51.3363534
University of Portsmouth,United Kingdom,-0.7362328,51.3222924
Miguel Hernández University of Elche,Spain,-0.6842187,38.2749004
University of Pau and Pays de l'Adour,France,-0.6673545,43.4081695
Cranfield University,United Kingdom,-0.6300115,52.0742111
University of Kent,United Kingdom,-0.628784,52.073955
University of Surrey,United Kingdom,-0.5904827,51.2423009
University of Bordeaux,France,-0.5780251,44.8370298
"Royal Holloway, University of London",United Kingdom,-0.5722843,51.4156216
University of Angers,France,-0.563166,47.478419
University of Alicante,Spain,-0.528309,38.38403
Brunel University,United Kingdom,-0.4728634,51.5328782
Polytechnic University of Valencia,Spain,-0.3762881,39.4699075
University of Caen Lower Normandy,France,-0.370679,49.182863
University of Hull,United Kingdom,-0.368825,53.769253
University of Hertfordshire,United Kingdom,-0.3664644,51.6516442
"Birkbeck, University of London",United Kingdom,-0.3523973,51.5397814
"Royal Veterinary College, University of London",United Kingdom,-0.1900293,51.7108116
